date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-10-28,1481.23,1485.98,1445.37,1485.98,3912140.0,6064453668.0,1256197800.0,0.0031142706984521066
2024-10-29,1481.23,1500.23,1452.75,1454.29,4116578.0,6368105233.0,1256197800.0,0.0032770141772259114
2024-10-30,1448.0,1472.87,1446.49,1454.65,3200574.0,4913175983.0,1256197800.0,0.0025478264649086316
2024-10-31,1454.79,1462.24,1443.25,1450.65,2995735.0,4575545180.0,1256197800.0,0.002384763768890536
2024-11-01,1444.2,1467.12,1444.01,1456.31,3228392.0,4954302212.0,1256197800.0,0.002569971066658451
2024-11-04,1466.93,1471.74,1450.91,1470.03,2909292.0,4481761764.0,1256197800.0,0.0023159505612889947
2024-11-05,1462.24,1498.04,1458.46,1497.37,4564047.0,7134443464.0,1256197800.0,0.003633223207364318
2024-11-06,1495.48,1508.76,1482.39,1491.68,3763143.0,5916917616.0,1256197800.0,0.0029956611928471776
2024-11-07,1483.57,1570.01,1483.42,1565.87,7473872.0,12074951757.0,1256197800.0,0.005949598064890736
2024-11-08,1577.03,1582.94,1520.17,1528.68,6077120.0,9885645907.0,1256197800.0,0.004837709475370837
2024-11-11,1509.72,1528.66,1488.06,1517.33,4385365.0,6957095385.0,1256197800.0,0.003490982869099118
2024-11-12,1508.77,1541.05,1494.48,1497.57,4922266.0,7844798676.0,1256197800.0,0.003918384509191148
2024-11-13,1488.83,1506.55,1482.45,1498.8,2912526.0,4594445032.0,1256197800.0,0.0023185249966207553
2024-11-14,1490.73,1513.95,1486.6,1494.34,2924814.0,4617144097.0,1256197800.0,0.0023283068956178716
2024-11-15,1489.78,1503.83,1474.59,1480.29,3376112.0,5295326892.0,1256197800.0,0.002687564012610116
2024-11-18,1483.13,1496.42,1476.49,1480.29,2709219.0,4237197499.0,1256197800.0,0.002156681853765386
2024-11-19,1485.98,1490.13,1448.0,1464.07,3326643.0,5138831155.0,1256197800.0,0.002648184067827535
2024-11-20,1465.09,1475.51,1453.98,1466.81,2134455.0,3292675257.0,1256197800.0,0.001699139259756704
2024-11-21,1465.92,1470.78,1454.65,1467.12,1826179.0,2810933515.0,1256197800.0,0.0014537352318241602
2024-11-22,1463.34,1469.62,1431.69,1431.69,3343611.0,5107288992.0,1256197800.0,0.002661691494763006
2024-11-25,1434.71,1454.65,1421.1,1422.91,3318556.0,5011136234.0,1256197800.0,0.0026417463873921764
2024-11-26,1422.91,1442.19,1413.71,1432.81,2574479.0,3876885984.0,1256197800.0,0.0020494216754718088
2024-11-27,1432.81,1445.3,1429.01,1442.35,2593417.0,3927607772.0,1256197800.0,0.0020644973267744935
2024-11-28,1445.15,1447.99,1426.16,1441.36,2395203.0,3627662382.0,1256197800.0,0.0019067084817375097
2024-11-29,1440.41,1476.49,1436.81,1448.7,3608810.0,5534035503.0,1256197800.0,0.002872803948550141
2024-12-02,1448.95,1452.74,1438.6,1448.0,2681954.0,4086609952.0,1256197800.0,0.0021349774693125555
2024-12-03,1447.05,1451.71,1439.53,1449.65,2480662.0,3777197199.0,1256197800.0,0.001974738373208423
2024-12-04,1443.32,1446.73,1433.76,1443.25,2392389.0,3626565544.0,1256197800.0,0.0019044683886566272
2024-12-05,1434.58,1441.22,1433.76,1434.71,1614147.0,2441318387.0,1256197800.0,0.00128494652673329
2024-12-06,1436.61,1461.2,1431.93,1444.21,3203969.0,4883148600.0,1256197800.0,0.0025505290647698953
2024-12-09,1445.17,1452.48,1436.8,1442.12,1979986.0,3008173586.0,1256197800.0,0.001576173752254621
2024-12-10,1490.73,1499.97,1467.16,1468.5,6031210.0,9421340719.0,1256197800.0,0.004801162683137958
2024-12-11,1462.24,1476.49,1453.68,1458.07,2967112.0,4569662604.0,1256197800.0,0.0023619783444932
2024-12-12,1454.67,1486.93,1451.8,1486.74,4193652.0,6510547810.0,1256197800.0,0.0033383691644739387
2024-12-13,1471.75,1476.48,1442.19,1442.3,4951197.0,7580908315.0,1256197800.0,0.003941415117905795
2024-12-16,1444.2,1451.8,1434.43,1450.09,3253710.0,4945298799.0,1256197800.0,0.002590125535962569
2024-12-17,1448.94,1489.78,1444.21,1479.34,5417163.0,8398945449.0,1256197800.0,0.004312348739983464
2024-12-18,1479.31,1497.38,1468.99,1492.15,4116226.0,6440801971.0,1256197800.0,0.0032767339665775567
2024-12-19,1486.12,1488.76,1472.05,1472.7,2480932.0,3862602665.0,1256197800.0,0.001974953307512559
2024-12-20,1476.56,1486.85,1465.84,1467.75,2815774.0,4307425535.0,1256197800.0,0.002241505278866115
